config,motor,eta,mean_predicted_vz,mean_corrected_vz,max_corrected_vz,mean_loss
baseline,1,0.496,0.35200000000000004,0.35600000000000004,0.356,36.793600000000055
cem_tuned,1,0.496,0.3476000000000001,0.3516000000000001,0.3516,6.357216000000151
baseline,2,0.496,0.3473,0.3723,0.3723,707.0232400000026
cem_tuned,2,0.496,0.3467,0.3717,0.37170000000000003,670.4968400000032
baseline,3,0.496,0.3476000000000001,0.3476000000000001,0.3476,1.15782400000001
cem_tuned,3,0.496,0.34564999999999996,0.34564999999999996,0.34564999999999996,0.7737139999999948
baseline,4,0.496,0.35200000000000004,0.359,0.359,88.22720000000014
cem_tuned,4,0.496,0.3476000000000001,0.3546,0.3546,27.651872000000463
baseline,1,0.4965,0.349,0.353,0.353,10.09552000000001
cem_tuned,1,0.4965,0.3446,0.3486,0.3486,1.7624448000000175
baseline,2,0.4965,0.3443,0.3693,0.3693,427.28875200000175
cem_tuned,2,0.4965,0.34369999999999995,0.3687,0.3687,401.97611200000205
baseline,3,0.4965,0.3446,0.3446,0.3446,0.5532672000000001
cem_tuned,3,0.4965,0.34264999999999995,0.34264999999999995,0.34264999999999995,0.47624319999999704
baseline,4,0.4965,0.349,0.35600000000000004,0.356,34.34736000000005
cem_tuned,4,0.4965,0.3446,0.3516000000000001,0.3516,5.943001600000141
baseline,1,0.497,0.3459999999999999,0.347,0.347,0.8682399999999971
cem_tuned,1,0.497,0.34159999999999996,0.3426,0.3426,0.4869216
baseline,2,0.497,0.3413,0.3473,0.3473,1.5408440000000043
cem_tuned,2,0.497,0.3407,0.3467,0.3467,1.339404000000006
baseline,3,0.497,0.34159999999999996,0.34159999999999996,0.3416,0.3377664
cem_tuned,3,0.497,0.33964999999999995,0.33964999999999995,0.33964999999999995,0.30309639999999827
baseline,4,0.497,0.3459999999999999,0.347,0.347,0.9962799999999966
cem_tuned,4,0.497,0.34159999999999996,0.3426,0.3426,0.5440752
baseline,1,0.4975,0.34299999999999997,0.34299999999999997,0.34299999999999997,0.34335999999999833
cem_tuned,1,0.4975,0.3386,0.3386,0.3386,0.2505023999999999
baseline,2,0.4975,0.3383,0.3383,0.3383,0.31133599999999895
cem_tuned,2,0.4975,0.33785000000000004,0.33785000000000004,0.33785000000000004,0.3043940000000009
baseline,3,0.4975,0.3386,0.3386,0.3386,0.2150016
cem_tuned,3,0.4975,0.33664999999999995,0.33664999999999995,0.33664999999999995,0.21145359999999916
baseline,4,0.4975,0.34299999999999997,0.34299999999999997,0.34299999999999997,0.38391999999999804
cem_tuned,4,0.4975,0.3386,0.3386,0.3386,0.2682527999999999
baseline,1,0.498,0.34,0.34,0.33999999999999997,0.21519999999999895
cem_tuned,1,0.498,0.33560000000000006,0.33560000000000006,0.3356,0.18012671999999993
baseline,2,0.498,0.3353,0.3353,0.3353,0.19993279999999944
cem_tuned,2,0.498,0.335,0.335,0.335,0.20000000000000007
baseline,3,0.498,0.33560000000000006,0.33560000000000006,0.3356,0.16808447999999998
cem_tuned,3,0.498,0.33560000000000006,0.33560000000000006,0.3356,0.16808447999999998
baseline,4,0.498,0.34,0.34,0.33999999999999997,0.23439999999999872
cem_tuned,4,0.498,0.33560000000000006,0.33560000000000006,0.3356,0.18614783999999993
