motor,eta,boost,n,mean_vz,std_vz,min_vz,max_vz,mean_drift,safe_count
1,0.496,10000,3,0.3556027313073476,0.0040164523963065,0.3509853780269623,0.3582881391048431,0.2493189967810236,0
2,0.496,10000,3,0.3931598563989003,0.0074201477977159,0.3852894008159637,0.4000277519226074,0.2760717778727542,0
3,0.496,10000,3,0.3610198597113291,0.0070573685530556,0.3542366921901703,0.3683227002620697,0.2628973694415964,0
4,0.496,10000,3,0.3760947684446971,0.0032222668879159,0.3726981878280639,0.3791085183620453,0.2686747616905627,0
1,0.497,10000,3,0.3214591145515441,0.0028380008609058,0.3188323080539703,0.3244693279266357,0.253516747410841,3
2,0.497,10000,3,0.3587216734886169,0.0046782644316098,0.3549682796001434,0.3639629185199737,0.2784459829673817,0
3,0.497,10000,3,0.3195114135742187,0.0068918031904315,0.3120276033878326,0.3255966901779175,0.2593688620190262,3
4,0.497,10000,3,0.3337404032548268,0.0111683410697679,0.3208701610565185,0.340882271528244,0.2654907772334011,3
1,0.498,10000,3,0.2818325658639272,0.0086633376393456,0.2722896039485931,0.2892025709152221,0.2555706561202422,3
2,0.498,10000,3,0.3158205846945444,0.0103926953576685,0.3079740405082702,0.3276071846485138,0.2695751410989937,3
3,0.498,10000,3,0.2844066023826599,0.0064249260270362,0.2782380878925323,0.2910604178905487,0.2566049875892697,3
4,0.498,10000,3,0.2984197835127512,0.0040609343128415,0.2958925366401672,0.3031040728092193,0.2754308603527458,3
