motor,eta,boost,file,found_contact,phase_contact,t_contact,z_contact,vz_contact,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,safe_touchdown
1,0.45,5000,motorloss_ftcboost_m1_eta0p45_b5000_r0_0_0_0.csv,True,max_brake_hold,10.705204010009766,0.0167801398783922,-1.1964495182037354,1.1964495182037354,0.027785233986480907,1.9991369247436523,0.2436802274136263,0.20727587000876857,False
1,0.45,7000,motorloss_ftcboost_m1_eta0p45_b7000_r0_0_0_0.csv,True,max_brake_hold,10.7549729347229,-0.0085276216268539,-1.2305641174316406,1.2305641174316406,0.025016637594502053,1.2962383031845093,0.2255447224627989,0.22169505229132533,False
1,0.45,10000,motorloss_ftcboost_m1_eta0p45_b10000_r0_0_0_0.csv,True,max_brake_hold,10.755570650100708,0.0277971904724836,-1.1329669952392578,1.1329669952392578,0.03177089982378503,1.1583060026168823,0.23893901357316405,0.2415544090061609,False
1,0.46,5000,motorloss_ftcboost_m1_eta0p46_b5000_r0_0_0_0.csv,True,max_brake_hold,10.807795763015749,0.010589831508696,-1.092493772506714,1.092493772506714,0.04003695585325805,0.6439269781112671,0.19242763835375779,0.20679590686617638,False
1,0.46,7000,motorloss_ftcboost_m1_eta0p46_b7000_r0_0_0_0.csv,True,max_brake_hold,10.854406356811523,-0.0052529782988131,-0.9198374152183532,0.9198374152183532,0.029542183966150572,0.2693312466144562,0.15912579256324466,0.21776964966742096,False
1,0.46,10000,motorloss_ftcboost_m1_eta0p46_b10000_r0_0_0_0.csv,True,max_brake_hold,10.903886318206789,-0.0005763621302321,-0.9470748901367188,0.9470748901367188,0.04544429506951139,0.6101261377334595,0.13952837948626942,0.24852257749328696,False
1,0.47,5000,motorloss_ftcboost_m1_eta0p47_b5000_r0_0_0_0.csv,True,max_brake_hold,10.954509258270264,0.0015036513796076,-1.117197871208191,1.117197871208191,0.03657032943399067,0.4726455509662628,0.09597598663191655,0.19680810487672304,False
1,0.47,7000,motorloss_ftcboost_m1_eta0p47_b7000_r0_0_0_0.csv,True,max_brake_hold,11.004233360290527,-0.0061004338786005,-0.9293310642242432,0.9293310642242432,0.030522204901244545,0.5870136618614197,0.07858446798997902,0.2166603479759427,False
1,0.47,10000,motorloss_ftcboost_m1_eta0p47_b10000_r0_0_0_0.csv,True,max_brake_hold,11.053571224212646,0.0108275199308991,-0.9047310948371888,0.9047310948371888,0.05669382039416013,0.7638106942176819,0.1021217143124219,0.24397083763472696,False
1,0.48,5000,motorloss_ftcboost_m1_eta0p48_b5000_r0_0_0_0.csv,True,max_brake_hold,11.154348134994509,0.0012837175745517,-0.6317357420921326,0.6317357420921326,0.012079718780466752,0.7810195088386536,0.08430677767781192,0.19666337966410247,False
1,0.48,7000,motorloss_ftcboost_m1_eta0p48_b7000_r0_0_0_0.csv,True,max_brake_hold,11.203280687332152,0.0119668114930391,-0.7835249304771423,0.7835249304771423,0.020551954814131152,0.5196919441223145,0.08707112953822953,0.21258886877136196,False
1,0.48,10000,motorloss_ftcboost_m1_eta0p48_b10000_r0_0_0_0.csv,True,max_brake_hold,11.303099393844604,0.0202468801289796,-0.7344861626625061,0.7344861626625061,0.05005872976032517,0.4968451857566833,0.09217198601011752,0.25086571048040274,False
1,0.49,5000,motorloss_ftcboost_m1_eta0p49_b5000_r0_0_0_0.csv,True,max_brake_hold,11.454718112945557,0.0257187150418758,-0.6069559454917908,0.6069559454917908,0.025262524189387566,0.3635832965373993,0.07585021345777093,0.1801916608024986,False
1,0.49,7000,motorloss_ftcboost_m1_eta0p49_b7000_r0_0_0_0.csv,True,max_brake_hold,11.603063821792604,0.0056473556905984,-0.6063235402107239,0.6063235402107239,0.01015897697290086,0.3314437568187713,0.06629578670102776,0.20303033654173394,False
1,0.49,10000,motorloss_ftcboost_m1_eta0p49_b10000_r0_0_0_0.csv,True,max_brake_hold,11.854821681976318,0.0075032566674053,-0.5801424980163574,0.5801424980163574,0.018792202055751297,0.245186761021614,0.051896248000964346,0.2536074477983613,False
1,0.5,5000,motorloss_ftcboost_m1_eta0p50_b5000_r0_0_0_0.csv,True,max_brake_hold,12.40467381477356,0.0283362325280904,-0.3143564462661743,0.3143564462661743,0.018206128612022674,0.1619777083396911,0.02695322211463719,0.15761038356407092,True
1,0.5,7000,motorloss_ftcboost_m1_eta0p50_b7000_r0_0_0_0.csv,True,max_brake_hold,12.955284595489502,0.0295655373483896,-0.2498743385076522,0.2498743385076522,0.011301395194394298,0.0624319575726985,0.018468110615299724,0.18143207519812335,True
1,0.5,10000,motorloss_ftcboost_m1_eta0p50_b10000_r0_0_0_0.csv,True,max_brake_hold,14.65325093269348,0.0273400675505399,-0.1791167706251144,0.1791167706251144,0.0054300217937875124,0.1028274223208427,0.014989591978287161,0.2780940677533978,True
