motor,eta,boost,opposite_residual,r1,r2,r3,r4,rep,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,safe_touchdown,file
1,0.497,0,10000,0,0,10000,0,1,0.3257915675640106,0.011706568636097408,0.1834317147731781,0.025300982035066925,0.275449340639547,True,motorloss_ftcboost_m1_eta0p497_b0_r0_0_10000_0_opposite10000_rep1.csv
1,0.497,0,10000,0,0,10000,0,2,0.3261068761348724,0.009266567276529554,0.1159423068165779,0.023971016725247738,0.2516483047218523,True,motorloss_ftcboost_m1_eta0p497_b0_r0_0_10000_0_opposite10000_rep2.csv
1,0.497,0,10000,0,0,10000,0,3,0.3301621377468109,0.00977254052607523,0.1346646100282669,0.025662780499047442,0.2557774653089124,True,motorloss_ftcboost_m1_eta0p497_b0_r0_0_10000_0_opposite10000_rep3.csv
2,0.497,0,10000,0,0,0,10000,1,0.3486061990261078,0.01046512621162065,0.0262476932257413,0.0194477308027428,0.25070339118378715,True,motorloss_ftcboost_m2_eta0p497_b0_r0_0_0_10000_opposite10000_rep1.csv
2,0.497,0,10000,0,0,0,10000,2,0.3394913971424103,0.009451265613085272,0.0558089800179004,0.018516629490772662,0.2645338279145774,True,motorloss_ftcboost_m2_eta0p497_b0_r0_0_0_10000_opposite10000_rep2.csv
2,0.497,0,10000,0,0,0,10000,3,0.3287283182144165,0.008824390818263233,0.1080419868230819,0.019496983456840776,0.2765163866675123,True,motorloss_ftcboost_m2_eta0p497_b0_r0_0_0_10000_opposite10000_rep3.csv
3,0.497,0,10000,10000,0,0,0,1,0.3307325839996338,0.012028111397860666,0.1779999881982803,0.02602527656362146,0.2668270889384015,True,motorloss_ftcboost_m3_eta0p497_b0_r10000_0_0_0_opposite10000_rep1.csv
3,0.497,0,10000,10000,0,0,0,2,0.3551248013973236,0.00986077337116856,0.0358173213899135,0.025965845103728374,0.2477171124117833,False,motorloss_ftcboost_m3_eta0p497_b0_r10000_0_0_0_opposite10000_rep2.csv
3,0.497,0,10000,10000,0,0,0,3,0.3448998928070068,0.010568365099978098,0.0926493257284164,0.026821004842677253,0.25139909911759273,True,motorloss_ftcboost_m3_eta0p497_b0_r10000_0_0_0_opposite10000_rep3.csv
4,0.497,0,10000,0,10000,0,0,1,0.3115439414978027,0.009416405240510312,0.1093914210796356,0.01835842695603312,0.27612949214534943,True,motorloss_ftcboost_m4_eta0p497_b0_r0_10000_0_0_opposite10000_rep1.csv
4,0.497,0,10000,0,10000,0,0,2,0.3227834105491638,0.010523935814446833,0.0829655081033706,0.01964277858228623,0.2705999387841651,True,motorloss_ftcboost_m4_eta0p497_b0_r0_10000_0_0_opposite10000_rep2.csv
4,0.497,0,10000,0,10000,0,0,3,0.3234159648418426,0.010313545813629563,0.0843918398022651,0.018769682733009222,0.27317175000560306,True,motorloss_ftcboost_m4_eta0p497_b0_r0_10000_0_0_opposite10000_rep3.csv
