candidate,r1,r2,r3,r4,n,safe_count,mean_vz,std_vz,min_vz,max_vz,mean_hspeed,max_hspeed,mean_tilt,max_tilt,mean_drift,max_drift
m4only_13000,0,0,0,13000,3,1,0.25100970555407304,0.2169098082648629,0.0005438413936644,0.3762982189655304,0.009970405017105546,0.014981513237827898,0.046370324989159904,0.0878707617521286,0.2391021577497634,0.3659968653019166
m4only_11000,0,0,0,11000,3,0,0.36556413769721985,0.0036203719843313745,0.3616890907287597,0.3688600063323974,0.011445703124958226,0.01179330042610533,0.08936148633559542,0.1117487177252769,0.3025885839612309,0.3110249735392711
m4only_12000,0,0,0,12000,3,0,0.36656952897707623,0.00661996142637262,0.3618513643741607,0.3741370737552643,0.013153847403031806,0.01407904331186047,0.07473663489023841,0.0862427428364753,0.3221494511275959,0.3257032715466208
sym_1000_12000,1000,0,1000,12000,3,0,0.36885403593381244,0.0075008435122433485,0.3602633476257324,0.3741047382354736,0.012517609534915944,0.01325794945024979,0.05656844377517697,0.0642293468117713,0.31916335552172975,0.3266736218263308
sym_3000_12000,3000,0,3000,12000,3,0,0.3739013175169626,0.012562219840877105,0.3638088405132293,0.3879706263542175,0.012898085158936097,0.013292668485426928,0.0384045988321304,0.064312145113945,0.31859443621121136,0.32290067378284454
sym_2000_12000,2000,0,2000,12000,3,0,0.37682117025057477,0.004976443735515704,0.3738021850585937,0.3825649619102478,0.013273007830420963,0.013677980510711481,0.06670261795322097,0.0837202370166778,0.32476892792761064,0.33554275777470893
m4only_14000,0,0,0,14000,3,0,0.3778264323870341,0.007517233978504285,0.3700293302536011,0.3850284218788147,0.01480913117253532,0.016369375434632513,0.08185623958706854,0.1099661365151405,0.38478658130729965,0.39224281266160654
sym_1000_13000,1000,0,1000,13000,3,0,0.37881844242413837,0.0034139940364931935,0.3766187727451324,0.3827513754367828,0.013679188905740339,0.015195601359385826,0.06813393160700794,0.1043361201882362,0.35543745210272815,0.369346213316236
sym_4000_12000,4000,0,4000,12000,3,0,0.3804194728533427,0.0063695664643404456,0.3748103380203247,0.3873440623283386,0.01390344247910638,0.014912679004314115,0.06376461560527477,0.079177401959896,0.3295984211385981,0.3387770650137596
sym_2000_13000,2000,0,2000,13000,3,0,0.38127997517585754,0.006838207051496502,0.3738563954830169,0.3873217701911926,0.014769332482063453,0.014912504630545305,0.06441846738258994,0.0756763964891433,0.35594574270099394,0.35849452964127976
high_m4_sym_2000_14000,2000,0,2000,14000,3,0,0.38545259833335876,0.008557638299036581,0.3799175322055816,0.3953092396259308,0.014707725389291338,0.015363130667724462,0.09585155795017875,0.1131058484315872,0.38703744918255806,0.3895242515640875
sym_3000_13000,3000,0,3000,13000,3,0,0.38585687677065533,0.007211447114965493,0.3809569478034973,0.3941376209259033,0.014279240294524856,0.01607854874335357,0.08442132174968715,0.1397832185029983,0.3619777051775655,0.37899698632825446
asym_r1_1000_r3_4000_m4_12000,1000,0,4000,12000,3,0,0.4056827922662099,0.01026434082476381,0.3944407701492309,0.4145548641681671,0.009145220517975184,0.00951529431215615,0.08383622641364726,0.1048342213034629,0.33543131976130797,0.35180230245585703
high_m4_asym_r1_1000_r3_3000_14000,1000,0,3000,14000,3,0,0.4086875816186269,0.0051280591602079085,0.4047337472438812,0.4144818782806396,0.010402267464401463,0.011514124989857868,0.09226966276764866,0.1326146870851516,0.3939929630778851,0.42558127600382833
high_m4_asym_r1_3000_r3_1000_14000,3000,0,1000,14000,3,0,0.42620625098546344,0.0063727789683634805,0.4192649722099304,0.4317926168441772,0.03226280193611058,0.032836587156380215,0.061386215190092665,0.0743168890476226,0.37208594284768987,0.37461692472987396
asym_r1_3000_r3_1000_m4_12000,3000,0,1000,12000,3,0,0.4330785572528839,0.012083727739991711,0.4255512058734894,0.4470167458057403,0.026231417509083716,0.026504733370922656,0.07209052393833794,0.096858911216259,0.3175344749328603,0.32253436745713476
asym_r1_0_r3_5000_m4_12000,0,0,5000,12000,3,0,0.46041993300120027,0.01118773380371025,0.4516670703887939,0.4730247259140014,0.008339458563373306,0.008945096252396355,0.08628203471501662,0.0975943282246589,0.3558675082336675,0.3634093557804952
asym_r1_4000_r3_1000_m4_12000,4000,0,1000,12000,3,0,0.46248859167099,0.009828216123363136,0.4518735110759735,0.4712723195552826,0.0317041802841767,0.03323602115868019,0.20220874249935147,0.2258304506540298,0.32265744084229814,0.33234497609350816
asym_r1_5000_r3_0_m4_12000,5000,0,0,12000,3,0,0.5534330407778422,0.0070412511042728,0.5457261800765991,0.5595297813415527,0.059123383258825594,0.06060180225689788,0.1461094220479329,0.1639264523983001,0.3140522969492083,0.3193191628376498
asym_r1_1000_r3_3000_m4_12000,1000,0,3000,12000,3,0,0.5719838937123617,0.35614575455480835,0.3654834926128387,0.9832243323326112,0.012166968738727168,0.02059081234672286,0.37731436143318814,0.962380349636078,0.4247751212276248,0.5817940178077537
